hash_msisdn,latitude,longitude,start_time,end_time,event_date
-3914071519648116905,-3.2953221470588225,103.8452750882353,2023-12-01 00:39:51,2023-12-01 23:15:58,2023-12-01
-3914071519648116905,-3.294290249999998,103.84535649999998,2023-12-02 00:05:59,2023-12-02 23:53:30,2023-12-02
-3914071519648116905,-3.2949665555555536,103.84625796296294,2023-12-03 00:03:32,2023-12-03 23:13:47,2023-12-03
-3914071519648116905,-3.2953073333333336,103.84737479487178,2023-12-04 00:13:49,2023-12-04 23:14:25,2023-12-04
-3914071519648116905,-3.295807,103.8479134375,2023-12-05 00:14:26,2023-12-05 14:00:47,2023-12-05
-3914071519648116905,-3.464882111111111,104.137716,2023-12-05 14:56:46,2023-12-05 15:19:28,2023-12-05
-3914071519648116905,-3.431143542857141,104.23071937142856,2023-12-05 15:30:31,2023-12-05 17:19:00,2023-12-05
-3914071519648116905,-3.415113,104.25970233333334,2023-12-05 17:47:16,2023-12-05 18:02:35,2023-12-05
-3914071519648116905,-3.419844273684212,104.24878471578953,2023-12-05 18:20:48,2023-12-05 19:53:28,2023-12-05
-3914071519648116905,-3.4641563333333334,104.15301026666664,2023-12-05 19:59:58,2023-12-05 20:22:50,2023-12-05
-3914071519648116905,-3.296511399999999,103.8497964,2023-12-05 21:17:33,2023-12-05 23:37:31,2023-12-05
-3914071519648116905,-3.2956011333333333,103.8470851,2023-12-06 00:37:32,2023-12-06 22:32:44,2023-12-06
-3914071519648116905,-3.29092819047619,103.84229890476192,2023-12-07 00:13:40,2023-12-07 10:56:29,2023-12-07
-3914071519648116905,-3.269763769230769,103.81716746153846,2023-12-07 11:00:29,2023-12-07 11:17:36,2023-12-07
-3914071519648116905,-3.293089894736841,103.84326052631576,2023-12-07 11:22:11,2023-12-07 23:08:47,2023-12-07
-3914071519648116905,-3.2955465,103.84863646153846,2023-12-08 00:08:48,2023-12-08 09:39:37,2023-12-08
-3914071519648116905,-3.47883925,104.2358985,2023-12-08 11:00:48,2023-12-08 11:18:40,2023-12-08
-3914071519648116905,-2.9639464,104.76777255000002,2023-12-08 12:47:02,2023-12-08 13:34:25,2023-12-08
-3914071519648116905,-2.9671301351351347,104.7632055135135,2023-12-08 13:34:45,2023-12-08 14:11:47,2023-12-08
-3914071519648116905,-2.949141592592593,104.7772167407408,2023-12-08 14:25:56,2023-12-08 14:52:19,2023-12-08
-3914071519648116905,-2.9493775555555555,104.77398055555555,2023-12-08 14:52:43,2023-12-08 15:14:27,2023-12-08
